unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1.57879E+12,12-01-2020 00:00,NEO/USDT,9.687,10.44,9.616,10.271,364017.408,3709564.566,9928
1.5787E+12,11-01-2020 00:00,NEO/USDT,9.874,10.049,9.576,9.696,223678.487,2194857.051,6777
1.57861E+12,10-01-2020 00:00,NEO/USDT,9.368,9.899,9.042,9.862,240215.052,2268863.369,6989
1.57853E+12,09-01-2020 00:00,NEO/USDT,9.465,9.521,9.31,9.387,127109.132,1194004.672,4281
1.57844E+12,08-01-2020 00:00,NEO/USDT,9.805,10.198,9.3,9.448,327148.53,3178410.283,9478
1.57836E+12,07-01-2020 00:00,NEO/USDT,9.771,9.943,9.363,9.801,306075.524,2958365.552,8324
1.57827E+12,06-01-2020 00:00,NEO/USDT,9.008,9.8,8.988,9.757,410209.613,3911472.306,9241
1.57818E+12,05-01-2020 00:00,NEO/USDT,9.085,9.245,8.964,9.02,126171.541,1151829.551,3701
1.5781E+12,04-01-2020 00:00,NEO/USDT,8.885,9.1,8.779,9.077,112615.865,1007243.078,3269
1.57801E+12,03-01-2020 00:00,NEO/USDT,8.463,9.018,8.321,8.888,190855.563,1676904.248,5669
1.57792E+12,02-01-2020 00:00,NEO/USDT,8.846,8.849,8.446,8.462,145283.853,1251898.981,3810
1.57784E+12,01-01-2020 00:00,NEO/USDT,8.674,9,8.632,8.85,105961.472,936349.6339,2939
1.57775E+12,31-12-2019 00:00,NEO/USDT,8.956,9.051,8.61,8.678,138111.94,1219497.323,3651
1.57766E+12,30-12-2019 00:00,NEO/USDT,9.202,9.266,8.885,8.943,221594.099,2005904.414,5131
1.57758E+12,29-12-2019 00:00,NEO/USDT,8.769,9.363,8.758,9.201,334386.368,3050532.581,7369
1.57749E+12,28-12-2019 00:00,NEO/USDT,8.723,8.843,8.664,8.766,154084.173,1350816.06,3503
1.5774E+12,27-12-2019 00:00,NEO/USDT,8.516,8.754,8.467,8.723,206258.151,1777664.254,4078
1.57732E+12,26-12-2019 00:00,NEO/USDT,8.601,8.85,8.482,8.525,189470.446,1642830.741,4114
1.57723E+12,25-12-2019 00:00,NEO/USDT,8.702,8.723,8.444,8.601,85595.983,733267.4182,2551
1.57715E+12,24-12-2019 00:00,NEO/USDT,8.543,8.862,8.453,8.695,121120.059,1046568.401,3402
1.57706E+12,23-12-2019 00:00,NEO/USDT,8.898,9.012,8.502,8.558,191324.882,1690288.694,5932
1.57697E+12,22-12-2019 00:00,NEO/USDT,8.5,8.924,8.48,8.88,155956.468,1359705.632,4051
1.57689E+12,21-12-2019 00:00,NEO/USDT,8.612,8.612,8.452,8.503,63137.844,537656.1325,1708
1.5768E+12,20-12-2019 00:00,NEO/USDT,8.585,8.7,8.457,8.601,76772.611,657731.5064,2388
1.57671E+12,19-12-2019 00:00,NEO/USDT,8.785,8.85,8.479,8.585,129356.198,1114650.884,4061
1.57663E+12,18-12-2019 00:00,NEO/USDT,7.882,8.899,7.749,8.78,290541.141,2415567.71,7883
1.57654E+12,17-12-2019 00:00,NEO/USDT,8.349,8.402,7.759,7.882,174784.93,1414896.369,5490
1.57645E+12,16-12-2019 00:00,NEO/USDT,8.914,8.977,8.186,8.362,252609.766,2160610.434,6537
1.57637E+12,15-12-2019 00:00,NEO/USDT,8.806,9.008,8.664,8.914,135009.492,1190301.106,3562
