unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1.56419E+12,27-07-2019 00:00,XLM/USDT,0.08788,0.08978,0.08279,0.08432,20061554.3,1718078.403,9644
1.5641E+12,26-07-2019 00:00,XLM/USDT,0.08556,0.08975,0.08345,0.0879,17137315,1477782.103,8737
1.56401E+12,25-07-2019 00:00,XLM/USDT,0.08587,0.08791,0.0847,0.08565,15679104.7,1352191.554,8402
1.56393E+12,24-07-2019 00:00,XLM/USDT,0.08424,0.08658,0.08157,0.08605,17837883.5,1494042.987,9278
1.56384E+12,23-07-2019 00:00,XLM/USDT,0.08872,0.08872,0.0831,0.08441,22564128.5,1928280.872,11005
1.56375E+12,22-07-2019 00:00,XLM/USDT,0.0911,0.09165,0.08621,0.08884,27489791.5,2452900.708,11586
1.56367E+12,21-07-2019 00:00,XLM/USDT,0.09461,0.09475,0.08864,0.09111,24961848.4,2285188.086,12047
1.56358E+12,20-07-2019 00:00,XLM/USDT,0.09338,0.09783,0.09144,0.09473,37077103.2,3486424.067,17460
1.56349E+12,19-07-2019 00:00,XLM/USDT,0.08839,0.095,0.08672,0.09332,56573908.5,5107665.865,25408
1.56341E+12,18-07-2019 00:00,XLM/USDT,0.08059,0.09344,0.07919,0.0883,89103372.8,7749941.973,36692
1.56332E+12,17-07-2019 00:00,XLM/USDT,0.07841,0.08371,0.07567,0.08054,39684400.8,3182791.711,19316
1.56324E+12,16-07-2019 00:00,XLM/USDT,0.08541,0.0882,0.0778,0.07828,35272257.4,2926882.63,17313
1.56315E+12,15-07-2019 00:00,XLM/USDT,0.08547,0.08778,0.08191,0.08542,35108721,2998734.015,16375
1.56306E+12,14-07-2019 00:00,XLM/USDT,0.09609,0.0967,0.085,0.08547,29786219.7,2673853.464,15764
1.56298E+12,13-07-2019 00:00,XLM/USDT,0.09779,0.10048,0.0913,0.09608,31341358.4,3005021.682,14797
1.56289E+12,12-07-2019 00:00,XLM/USDT,0.08688,0.10112,0.08622,0.09784,55303021.2,5309560.475,24180
1.5628E+12,11-07-2019 00:00,XLM/USDT,0.09482,0.09489,0.08545,0.08697,34474672.9,3064127.775,17112
1.56272E+12,10-07-2019 00:00,XLM/USDT,0.10123,0.10211,0.09166,0.09484,44415639.9,4282722.903,20252
1.56263E+12,09-07-2019 00:00,XLM/USDT,0.10393,0.10477,0.09986,0.10117,26448703.8,2696705.304,13306
1.56254E+12,08-07-2019 00:00,XLM/USDT,0.10561,0.1058,0.10338,0.10395,17548312.2,1831435.842,8858
1.56246E+12,07-07-2019 00:00,XLM/USDT,0.10382,0.10573,0.1021,0.10555,16372709.1,1703808.269,8040
1.56237E+12,06-07-2019 00:00,XLM/USDT,0.10005,0.10594,0.09988,0.10373,20408622.3,2107129.146,9232
1.56228E+12,05-07-2019 00:00,XLM/USDT,0.09892,0.10182,0.09865,0.10003,21766619.4,2180078.793,8987
1.5622E+12,04-07-2019 00:00,XLM/USDT,0.10552,0.10576,0.09876,0.09908,24616084.7,2521957.907,11196
1.56211E+12,03-07-2019 00:00,XLM/USDT,0.10284,0.10578,0.10227,0.10559,26992084.9,2798076.134,12308
1.56203E+12,02-07-2019 00:00,XLM/USDT,0.10599,0.10665,0.1001,0.10287,47575162.2,4875607.745,21314
1.56194E+12,01-07-2019 00:00,XLM/USDT,0.10497,0.10997,0.10156,0.10597,49788591.3,5263781.687,21261
1.56185E+12,30-06-2019 00:00,XLM/USDT,0.11481,0.11545,0.10444,0.10495,52178356.6,5704322.738,22265
1.56177E+12,29-06-2019 00:00,XLM/USDT,0.11163,0.12171,0.10662,0.11491,71596480.6,8018594.469,28438
1.56168E+12,28-06-2019 00:00,XLM/USDT,0.10898,0.11329,0.10881,0.11169,45476978.1,5049971.33,22031
1.56159E+12,27-06-2019 00:00,XLM/USDT,0.12317,0.12436,0.10476,0.10921,112035504.2,12656568.37,49935
1.56151E+12,26-06-2019 00:00,XLM/USDT,0.12393,0.13305,0.12082,0.12317,145097076.7,18399663.22,61726
1.56142E+12,25-06-2019 00:00,XLM/USDT,0.12849,0.12961,0.122,0.12399,64515145,8092889.184,25570
1.56133E+12,24-06-2019 00:00,XLM/USDT,0.12816,0.1289,0.12524,0.12845,31827814.3,4051721.34,17360
1.56125E+12,23-06-2019 00:00,XLM/USDT,0.12985,0.13361,0.12791,0.12817,60526480.2,7919467.917,30235
1.56116E+12,22-06-2019 00:00,XLM/USDT,0.12308,0.13473,0.122,0.12981,98385269.1,12631536.55,46135
1.56108E+12,21-06-2019 00:00,XLM/USDT,0.12105,0.12474,0.121,0.12315,35748452.3,4398441.273,17650
1.56099E+12,20-06-2019 00:00,XLM/USDT,0.12384,0.12413,0.12025,0.12099,30052215.7,3661726.479,15945
1.5609E+12,19-06-2019 00:00,XLM/USDT,0.12368,0.12627,0.12303,0.12382,27475299.5,3414350.896,15006
1.56082E+12,18-06-2019 00:00,XLM/USDT,0.13078,0.13125,0.12231,0.1237,36779095,4632912.309,22729
1.56073E+12,17-06-2019 00:00,XLM/USDT,0.12951,0.13199,0.12709,0.13087,34972656.9,4514210.062,25162
1.56064E+12,16-06-2019 00:00,XLM/USDT,0.12635,0.13307,0.1259,0.12958,48010672.2,6205217.953,31488
1.56056E+12,15-06-2019 00:00,XLM/USDT,0.12487,0.12719,0.12384,0.12638,22551220.3,2829079.388,16893
1.56047E+12,14-06-2019 00:00,XLM/USDT,0.12414,0.12488,0.12047,0.12486,30784717.1,3777210.262,20664
1.56038E+12,13-06-2019 00:00,XLM/USDT,0.12697,0.1276,0.124,0.12414,23797925.2,2996868.742,16860
1.5603E+12,12-06-2019 00:00,XLM/USDT,0.12237,0.12737,0.12036,0.12697,27945716.3,3484352.402,20576
1.56021E+12,11-06-2019 00:00,XLM/USDT,0.1232,0.1235,0.11831,0.12234,21988743.6,2658403.351,15225
1.56012E+12,10-06-2019 00:00,XLM/USDT,0.11845,0.12378,0.11672,0.12323,25519441,3093610.05,19976
1.56004E+12,09-06-2019 00:00,XLM/USDT,0.12373,0.12475,0.11666,0.11845,16952712.6,2047850.573,14009
1.55995E+12,08-06-2019 00:00,XLM/USDT,0.12704,0.12829,0.12232,0.12376,12978717.2,1624133.985,11682
1.55987E+12,07-06-2019 00:00,XLM/USDT,0.12494,0.13017,0.12402,0.12705,24670711.4,3133003.991,19611
1.55978E+12,06-06-2019 00:00,XLM/USDT,0.12118,0.1256,0.11803,0.1248,31943330.9,3892424.28,22354
1.55969E+12,05-06-2019 00:00,XLM/USDT,0.12107,0.12549,0.11877,0.12119,29392533.1,3599376.359,20780
1.55961E+12,04-06-2019 00:00,XLM/USDT,0.12763,0.12765,0.11695,0.12106,43724073.8,5373857.842,30931
1.55952E+12,03-06-2019 00:00,XLM/USDT,0.13623,0.14004,0.12758,0.12764,46867400.3,6263379.637,29524
1.55943E+12,02-06-2019 00:00,XLM/USDT,0.13251,0.138,0.13209,0.13639,29912912.7,4059754.125,18643
1.55935E+12,01-06-2019 00:00,XLM/USDT,0.13342,0.135,0.12831,0.13257,37431241.4,4944402.489,22583
1.55926E+12,31-05-2019 00:00,XLM/USDT,0.12863,0.13458,0.12402,0.13348,47930020.2,6181245.27,29346
1.55917E+12,30-05-2019 00:00,XLM/USDT,0.13567,0.14395,0.125,0.12872,105056745.3,14365568.43,55090
1.55909E+12,29-05-2019 00:00,XLM/USDT,0.13911,0.13945,0.13032,0.13566,62437808.7,8495495.239,30348
1.559E+12,28-05-2019 00:00,XLM/USDT,0.1377,0.14168,0.13207,0.13917,59206120.4,8125027.979,34564
1.55892E+12,27-05-2019 00:00,XLM/USDT,0.13164,0.14412,0.13076,0.13778,56046379.7,7612317.845,37677
1.55883E+12,26-05-2019 00:00,XLM/USDT,0.1247,0.1348,0.12091,0.1316,36969632.2,4676284.993,23268
1.55874E+12,25-05-2019 00:00,XLM/USDT,0.1252,0.12771,0.12372,0.12475,21977863.2,2760661.417,14148
1.55866E+12,24-05-2019 00:00,XLM/USDT,0.12486,0.12921,0.12097,0.12522,38443623.2,4844560.82,25669
1.55857E+12,23-05-2019 00:00,XLM/USDT,0.12169,0.12605,0.11761,0.12483,33822229.3,4122236.265,24150
1.55848E+12,22-05-2019 00:00,XLM/USDT,0.1335,0.13741,0.1205,0.12173,46838732.6,6074358.176,29867
1.5584E+12,21-05-2019 00:00,XLM/USDT,0.1349,0.13645,0.13103,0.13359,41394396.8,5533849.555,26629
1.55831E+12,20-05-2019 00:00,XLM/USDT,0.14255,0.14268,0.12798,0.13495,55226071.8,7423911.982,38038
