unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1.56781E+12,07-09-2019 00:00,XRP/USDT,0.25115,0.26285,0.25009,0.25993,53971229,13824418.38,55309
1.56773E+12,06-09-2019 00:00,XRP/USDT,0.25616,0.25868,0.24692,0.2511,63377736.5,16136824.77,57313
1.56764E+12,05-09-2019 00:00,XRP/USDT,0.25843,0.25937,0.25337,0.25617,43270120.3,11089322.56,46246
1.56756E+12,04-09-2019 00:00,XRP/USDT,0.26252,0.26299,0.25598,0.25843,49398294.2,12827285.99,54442
1.56747E+12,03-09-2019 00:00,XRP/USDT,0.2606,0.267,0.25751,0.26242,56305107.1,14738850.84,59268
1.56738E+12,02-09-2019 00:00,XRP/USDT,0.25596,0.26428,0.25295,0.2606,60783394.6,15660047.93,54675
1.5673E+12,01-09-2019 00:00,XRP/USDT,0.25747,0.25891,0.25,0.25593,32881805.2,8396989.384,39569
1.56721E+12,31-08-2019 00:00,XRP/USDT,0.25541,0.26047,0.25288,0.25747,36321425.5,9309855.463,40828
1.56712E+12,30-08-2019 00:00,XRP/USDT,0.25712,0.2576,0.25199,0.25539,46587713,11878607.93,47939
1.56704E+12,29-08-2019 00:00,XRP/USDT,0.25614,0.26264,0.247,0.25698,74454641.4,18910937.66,66656
1.56695E+12,28-08-2019 00:00,XRP/USDT,0.26955,0.26974,0.24765,0.25629,55448237.7,14351204.18,49408
1.56686E+12,27-08-2019 00:00,XRP/USDT,0.27051,0.27065,0.26513,0.26954,34119040.9,9160037.93,38730
1.56678E+12,26-08-2019 00:00,XRP/USDT,0.26961,0.27969,0.26704,0.27051,59046898.9,16038543.39,55102
1.56669E+12,25-08-2019 00:00,XRP/USDT,0.27149,0.27602,0.26597,0.26954,45191941.2,12245907.45,51680
1.5666E+12,24-08-2019 00:00,XRP/USDT,0.27663,0.27726,0.2637,0.27137,42809616.8,11569289.12,49049
1.56652E+12,23-08-2019 00:00,XRP/USDT,0.27038,0.27815,0.26727,0.27664,45140229.6,12336542.78,53838
1.56643E+12,22-08-2019 00:00,XRP/USDT,0.26589,0.27419,0.26028,0.27039,58263968.5,15653020.23,74102
1.56635E+12,21-08-2019 00:00,XRP/USDT,0.27432,0.27448,0.25871,0.26589,60607962.3,16072611.98,59345
1.56626E+12,20-08-2019 00:00,XRP/USDT,0.28195,0.28234,0.2696,0.27432,49280235.2,13562253.57,52408
1.56617E+12,19-08-2019 00:00,XRP/USDT,0.28321,0.29035,0.27558,0.28202,69411983.5,19652851.26,60857
1.56609E+12,18-08-2019 00:00,XRP/USDT,0.26535,0.2919,0.26353,0.2832,87006862.6,24368646.47,72869
1.566E+12,17-08-2019 00:00,XRP/USDT,0.26029,0.26953,0.25648,0.26546,56461024.9,14887433.66,63391
1.56591E+12,16-08-2019 00:00,XRP/USDT,0.26392,0.26526,0.25395,0.26047,66289982.6,17250832.84,70452
1.56583E+12,15-08-2019 00:00,XRP/USDT,0.26346,0.2707,0.25875,0.26378,72594115.1,19154006.83,61001
1.56574E+12,14-08-2019 00:00,XRP/USDT,0.29795,0.29864,0.243,0.26353,142518597.1,38446280.88,116447
